product_id,product_link,Processor_Name,Processor_Generation,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,Refresh_Rate,price
COMGMV6V2AGHSSDM,https://www.flipkart.com/product/p/item?pid=COMGMV6V2AGHSSDM,Core i3,11th Gen,1.70 GHz up to 4.10 GHz,512 GB,8 GB,Intel Integrated UHD,,No,35.56 cm (14 Inch),1920 x 1080 Pixel,,"33,990"
COMGB732ZPGYB2JP,https://www.flipkart.com/product/p/item?pid=COMGB732ZPGYB2JP,Ryzen 7 Octa Core,,4.2,512 GB,8 GB,NVIDIA GeForce RTX RTX 3050,4 GB,No,43.94 cm (17.3 Inch),1920 x 1080 Pixels,144 Hz,"67,990"
COMGHN4MYVNWWQHG,https://www.flipkart.com/product/p/item?pid=COMGHN4MYVNWWQHG,Core i5,11th Gen,2.5 GHz upto max turbo frequency at 4.5 Ghz,512 GB,8 GB,Intel Integrated Iris Xe,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"52,490"
COMGEG3ZNYZDAYVJ,https://www.flipkart.com/product/p/item?pid=COMGEG3ZNYZDAYVJ,Core i5,12th Gen,Upto 4.4 GHz,512 GB,16 GB,Intel Integrated UHD Graphics,,No,35.56 cm (14 inch),1920 x 1080 Pixels,,"65,990"
COMGP24QHAAUK7JE,https://www.flipkart.com/product/p/item?pid=COMGP24QHAAUK7JE,Core i3,12th Gen,0.9 GHz upto max turbo frequency at 4.4 Ghz,512 GB,8 GB,Intel Integrated UHD,,No,90.32 cm (35.56 cm),1920 x 1080 Pixel,,"39,990"
COMGP26H8PHCAMZE,https://www.flipkart.com/product/p/item?pid=COMGP26H8PHCAMZE,Core i3,12th Gen,0.9 GHz upto max turbo frequency at 4.4 Ghz,512 GB,8 GB,Intel Integrated UHD,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"44,990"
COMGBH9JDPVGD8BH,https://www.flipkart.com/product/p/item?pid=COMGBH9JDPVGD8BH,Ryzen 5 Hexa Core,,2.1 GHz with Max Turbo Boost Frequency Up to 4.0 GHz,512 GB,8 GB,AMD Radeon AMD,,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,,"43,990"
COMGHMH6JRYP56GE,https://www.flipkart.com/product/p/item?pid=COMGHMH6JRYP56GE,Ryzen 5 Hexa Core,,3.2 GHz upto max turbo frequency at 4.2 Ghz,256 GB,8 GB,NVIDIA GeForce GTX 1650,4 GB,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,120 Hz,"51,990"
COMGZMKF3UAXVYU9,https://www.flipkart.com/product/p/item?pid=COMGZMKF3UAXVYU9,Core i5,12th Gen,3.3 GHz upto max turbo frequency at 4.4 Ghz,512 GB,16 GB,NVIDIA GeForce RTX 3050,4 GB,No,40.64 cm (16 Inch),1920 x 1200 Pixel,120 Hz,"72,990"
COMGDSFCWQY5EFZB,https://www.flipkart.com/product/p/item?pid=COMGDSFCWQY5EFZB,Ryzen 5 Hexa Core,,2.4 GHz upto max turbo frequency at 4.3 Ghz,512 GB,16 GB,AMD Radeon AMD,,No,35.56 cm (14 inch),1920 x 1080 Pixel,,"56,490"
COMGAGRYXAWSHSRM,https://www.flipkart.com/product/p/item?pid=COMGAGRYXAWSHSRM,Core i3,11th Gen,,256 GB,8 GB,Intel Integrated UHD Graphics,,No,38.1 cm (15 inch),1920 x 1080 pixel,,"33,990"
COMGZMKFGYFBMHVJ,https://www.flipkart.com/product/p/item?pid=COMGZMKFGYFBMHVJ,Core i5,12th Gen,3.3 GHz upto max turbo frequency at 4.4 Ghz,512 GB,16 GB,NVIDIA GeForce RTX 3050,4 GB,No,40.64 cm (16 Inch),1920 x 1200 Pixel,120 Hz,"72,990"
COMGZ7YCAXM2AFNU,https://www.flipkart.com/product/p/item?pid=COMGZ7YCAXM2AFNU,Celeron Quad Core,11th Gen,1.1GHz - 2.8GHz,256 GB,8 GB,Intel Integrated UHD,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"23,490"
COMFXEKMXWUMGPHW,https://www.flipkart.com/product/p/item?pid=COMFXEKMXWUMGPHW,M1,,,256 GB,8 GB,NA,,No,33.78 cm (13.3 inch),2560 x 1600 Pixel,,"77,990"
COMGZ4PN42GHPHYE,https://www.flipkart.com/product/p/item?pid=COMGZ4PN42GHPHYE,Core i7,11th Gen,.3 GHz upto 4.6 GHz,512 GB,16 GB,NVIDIA GeForce RTX 3050,4 GB,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"79,990"
COMGBH774UHWUFQF,https://www.flipkart.com/product/p/item?pid=COMGBH774UHWUFQF,Celeron Dual Core,,1.1 GHz upto max turbo frequency at 2.8 Ghz,256 GB,4 GB,Intel Integrated UHD,,No,35.56 cm (14 inch),1366 x 768 Pixel,,"25,990"
COMGZZUAHCVXGZFS,https://www.flipkart.com/product/p/item?pid=COMGZZUAHCVXGZFS,Ryzen 7 Octa Core,,Max Boost at 4.2 GHz,512 GB,16 GB,NVIDIA GeForce RTX 3050,4 GB,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,144 Hz,"73,990"
COMG9VHHF6HVJPP9,https://www.flipkart.com/product/p/item?pid=COMG9VHHF6HVJPP9,Ryzen 5 Hexa Core,,2.1 GHz with Max Turbo Boost Frequency Up to 4.0 GHz,512 GB,8 GB,AMD Radeon AMD,,No,39.62 cm (15.6 inch),1920 x 1080 pixel,,"43,975"
COMGP26H8PHCAMZE,https://www.flipkart.com/product/p/item?pid=COMGP26H8PHCAMZE,Core i3,12th Gen,0.9 GHz upto max turbo frequency at 4.4 Ghz,512 GB,8 GB,Intel Integrated UHD,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"44,990"
COMGNY4FMEF9ZWT2,https://www.flipkart.com/product/p/item?pid=COMGNY4FMEF9ZWT2,Ryzen 7 Octa Core,,3.2GHz Upto 4.4GHz,512 GB,8 GB,AMD Radeon RX6500M,4 GB,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,144 Hz,"55,990"
COMGCG2GXUAAMYJF,https://www.flipkart.com/product/p/item?pid=COMGCG2GXUAAMYJF,Core i5,12th Gen,4.5,512 GB,16 GB,Intel Integrated Iris Xe Graphics,,No,35.56 cm (14 Inch),2880 x 1800 Pixels,,"68,990"
COMGMGXFQZGYKEZG,https://www.flipkart.com/product/p/item?pid=COMGMGXFQZGYKEZG,Ryzen 3 Quad Core,,2.4 GHz upto max turbo frequency at 4.1 Ghz,512 GB,8 GB,AMD Radeon AMD,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"34,990"
COMGGQE9C2WNTEQ2,https://www.flipkart.com/product/p/item?pid=COMGGQE9C2WNTEQ2,Core i5,11th Gen,MaxTurbo Frequency up to 4.50GHz,512 GB,8 GB,Intel Integrated Iris Xe,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"39,490"
COMGCGSTVVGKQTVA,https://www.flipkart.com/product/p/item?pid=COMGCGSTVVGKQTVA,Ryzen 5 Hexa Core,,4.3,512 GB,8 GB,AMD Radeon Radeon Graphics,,No,35.56 cm (14 Inch),1920 x 1080 Pixels,,"53,990"
COMG9VHHG6Q3RRJX,https://www.flipkart.com/product/p/item?pid=COMG9VHHG6Q3RRJX,Core i3,11th Gen,1.7 GHz upto max turbo frequency at 4.1 Ghz,512 GB,8 GB,Intel Integrated UHD,,No,39.62 cm (15.6 inch),1920 x 1080 pixel,,"40,990"
COMGF478WJG7FDQQ,https://www.flipkart.com/product/p/item?pid=COMGF478WJG7FDQQ,Core i3,11th Gen,"Base Frequency 1.7 GHz, Max Turbo Frequency at 4.1 GHz",512 GB,8 GB,Intel Integrated UHD,,No,96.52 cm (38 cm),1920 x 1080 Pixels,,"38,799"
COMGG3S9WZXTUHH2,https://www.flipkart.com/product/p/item?pid=COMGG3S9WZXTUHH2,Ryzen 7 Octa Core,,2.9 GHz Upto Max Turbo Frequency at 4.2 GHz,512 GB,16 GB,NVIDIA GeForce GTX 1650 Max Q,4 GB,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"59,990"
COMGHR2J9RX2GG2G,https://www.flipkart.com/product/p/item?pid=COMGHR2J9RX2GG2G,Core i3,12th Gen,"Base Frequency 3.30 GHz, Max Turbo Boost Frequency Up to 4.40 GHz",512 GB,8 GB,Intel Integrated UHD Graphics,,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,,"37,990"
COMGHPY3GWDBV42P,https://www.flipkart.com/product/p/item?pid=COMGHPY3GWDBV42P,Ryzen 5 Hexa Core,,,512 GB,16 GB,AMD Radeon Integrated AMD Radeon Graphics,,Yes,35.56 cm (14 inch),1920 x 1200 pixel,,"63,990"
COMGP24QHAAUK7JE,https://www.flipkart.com/product/p/item?pid=COMGP24QHAAUK7JE,Core i3,12th Gen,0.9 GHz upto max turbo frequency at 4.4 Ghz,512 GB,8 GB,Intel Integrated UHD,,No,90.32 cm (35.56 cm),1920 x 1080 Pixel,,"39,990"
COMGFRHGDB9G3Z9C,https://www.flipkart.com/product/p/item?pid=COMGFRHGDB9G3Z9C,Ryzen 5 Hexa Core,,Up to 4.0 GHz max boost clock,512 GB,16 GB,AMD Radeon Radeon Graphics,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,,"48,990"
COMGAY9Y7WXZYFDA,https://www.flipkart.com/product/p/item?pid=COMGAY9Y7WXZYFDA,Ryzen 3 Quad Core,,3.8,512 GB,8 GB,AMD Radeon Radeon Graphics,,No,35.56 cm (14 Inch),1920 x 1080 Pixels,,"38,990"
COMGAX8EYBZZDXY6,https://www.flipkart.com/product/p/item?pid=COMGAX8EYBZZDXY6,Ryzen 5 Hexa Core,,2.1 GHz with Max Turbo Boost Frequency Up to 4.0 GHz,512 GB,8 GB,AMD Radeon AMD,,No,35.56 cm (14 inch),1920 x 1080 Pixel,,"45,490"
COMGNFVDJQZEVH6X,https://www.flipkart.com/product/p/item?pid=COMGNFVDJQZEVH6X,Core i3,11th Gen,,512 GB,8 GB,Intel Integrated UHD,,No,39.62 cm (15.6 inch),1366 x 768 pixel,,"36,990"
COMG9QVUUFXRGJGZ,https://www.flipkart.com/product/p/item?pid=COMG9QVUUFXRGJGZ,Core i5,11th Gen,4.2,512 GB,16 GB,Intel Integrated UHD Graphics,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"58,890"
COMGNY4VWHZKRSHT,https://www.flipkart.com/product/p/item?pid=COMGNY4VWHZKRSHT,Core i5,12th Gen,2.5 GHz with Max Turbo Boost Frequency Up to 4.50 GHz,512 GB,8 GB,Intel Integrated Iris Xe,,No,35.56 cm (14 inch),1920 x 1200 Pixel,,"56,990"
COMGZMKF3UAXVYU9,https://www.flipkart.com/product/p/item?pid=COMGZMKF3UAXVYU9,Core i5,12th Gen,3.3 GHz upto max turbo frequency at 4.4 Ghz,512 GB,16 GB,NVIDIA GeForce RTX 3050,4 GB,No,40.64 cm (16 Inch),1920 x 1200 Pixel,120 Hz,"72,990"
COMGZMKFGYFBMHVJ,https://www.flipkart.com/product/p/item?pid=COMGZMKFGYFBMHVJ,Core i5,12th Gen,3.3 GHz upto max turbo frequency at 4.4 Ghz,512 GB,16 GB,NVIDIA GeForce RTX 3050,4 GB,No,40.64 cm (16 Inch),1920 x 1200 Pixel,120 Hz,"72,990"
COMGMM3HXJC3TYYH,https://www.flipkart.com/product/p/item?pid=COMGMM3HXJC3TYYH,Core i3,10th Gen,"Base Frequency 1.2 GHz, Max Turbo Frequency at 3.4 GHz",512 GB,8 GB,Intel Integrated UHD,,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,60 Hz,"29,990"
COMGGKKZHDJBZXJX,https://www.flipkart.com/product/p/item?pid=COMGGKKZHDJBZXJX,Core i5,12th Gen,"Base Clock 2.0 Ghz, Max Turbo Boost Frequency Up to 4.4 GHz",512 GB,8 GB,NVIDIA GeForce GTX 1650,4 GB,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,144 Hz,"62,890"
COMGKC6YXBYAVU4F,https://www.flipkart.com/product/p/item?pid=COMGKC6YXBYAVU4F,Core i5,12th Gen,3.3 GHz upto max turbo frequency at 4.4 Ghz,512 GB,16 GB,NVIDIA GeForce RTX 3050,4 GB,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"72,990"
COMGE73KYN76YZC7,https://www.flipkart.com/product/p/item?pid=COMGE73KYN76YZC7,Ryzen 7 Octa Core,,Max Turbo Frequency at 4.2 GHz,1 TB,16 GB,NVIDIA GeForce RTX 3050 Ti,4 GB,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,144 Hz,"84,990"
COMGKC6Y2KA8HMFT,https://www.flipkart.com/product/p/item?pid=COMGKC6Y2KA8HMFT,Core i5,11th Gen,Max Frequency Up to 4.2 GHz,512 GB,16 GB,Intel Integrated Iris Xe,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"51,990"
COMG9VHHF6HVJPP9,https://www.flipkart.com/product/p/item?pid=COMG9VHHF6HVJPP9,Ryzen 5 Hexa Core,,2.1 GHz with Max Turbo Boost Frequency Up to 4.0 GHz,512 GB,8 GB,AMD Radeon AMD,,No,39.62 cm (15.6 inch),1920 x 1080 pixel,,"43,975"
COMGEG3ZZGWA8XE2,https://www.flipkart.com/product/p/item?pid=COMGEG3ZZGWA8XE2,Core i7,12th Gen,Upto 4.7 GHz,1 TB,16 GB,Intel Integrated UHD Graphics,,No,35.56 cm (14 inch),1920 x 1080 Pixels,,"83,990"
COMGGZ234HN7DARE,https://www.flipkart.com/product/p/item?pid=COMGGZ234HN7DARE,Ryzen 7 Octa Core,,Max Turbo Boost at 4.4 GHz,512 GB,8 GB,AMD Radeon RX 6600M,8 GB,No,39.62 cm (15.6 inch),1920 x 1080 PIxel,144 Hz,"72,990"
COMG9VHHG6Q3RRJX,https://www.flipkart.com/product/p/item?pid=COMG9VHHG6Q3RRJX,Core i3,11th Gen,1.7 GHz upto max turbo frequency at 4.1 Ghz,512 GB,8 GB,Intel Integrated UHD,,No,39.62 cm (15.6 inch),1920 x 1080 pixel,,"36,990"
COMGGMEYJVXAET6G,https://www.flipkart.com/product/p/item?pid=COMGGMEYJVXAET6G,Core i3,11th Gen,Up to 4.1 GHz,512 GB,8 GB,Intel Integrated UHD,,No,39.62 cm (15.6 inch),1920 x 1080 pixel,,"40,990"
COMGZDQJCTDUXGTX,https://www.flipkart.com/product/p/item?pid=COMGZDQJCTDUXGTX,Core i3,13th Gen,Max Turbo Frequency up to 4.5 GHz,512 GB,8 GB,Intel Integrated UHD,,No,40.64 cm (16 Inch),1920 x 1200 Pixel,,"47,990"
COMGHPY3GWDBV42P,https://www.flipkart.com/product/p/item?pid=COMGHPY3GWDBV42P,Ryzen 5 Hexa Core,,,512 GB,16 GB,AMD Radeon Integrated AMD Radeon Graphics,,Yes,35.56 cm (14 inch),1920 x 1200 pixel,,"63,990"
COMGZ7YCXY6GWEGZ,https://www.flipkart.com/product/p/item?pid=COMGZ7YCXY6GWEGZ,Celeron Quad Core,11th Gen,1.1GHz - 2.8GHz,256 GB,8 GB,Intel Integrated UHD,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"23,490"
COMGZ3MYJ2Z22ZAS,https://www.flipkart.com/product/p/item?pid=COMGZ3MYJ2Z22ZAS,Core i3,11th Gen,1.70 GHz up to 4.10 GHz,512 GB,16 GB,Intel Integrated UHD,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"38,990"
COMGHQYYCYW2HUZH,https://www.flipkart.com/product/p/item?pid=COMGHQYYCYW2HUZH,Core i9,13th Gen,1.80 GHz up to 5.40 GHz,1 TB,32 GB,NVIDIA GeForce RTX 4080,12 GB,No,40.64 cm (16 Inch),2560 x 1600 Pixel,,"2,49,990"
COMGCFN8JMVHPHNZ,https://www.flipkart.com/product/p/item?pid=COMGCFN8JMVHPHNZ,Snapdragon 7c Gen 2,,Up to 2.55 GHz,,4 GB,Qualcomm Adreno Adreno,,No,35.56 cm (14 Inch),1920 x 1080 Pixel,,"27,990"
COMGCFNZUUHGWNRZ,https://www.flipkart.com/product/p/item?pid=COMGCFNZUUHGWNRZ,Ryzen 7 Octa Core,,3.2 GHz upto max turbo frequency at 4.4 Ghz,512 GB,16 GB,NVIDIA GeForce RTX 3050,4 GB,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"80,990"
COMGHMH6ZCGDH57Y,https://www.flipkart.com/product/p/item?pid=COMGHMH6ZCGDH57Y,Core i7,12th Gen,2.3 GHz GHz with Max Turbo Boost Frequency Up to 4.70 GHz,512 GB,16 GB,NVIDIA GeForce RTX 3060,6 GB,No,40.64 cm (16 Inch),1920 x 1200 Pixel,,"1,04,135"
COMGZS9GHNQCJC26,https://www.flipkart.com/product/p/item?pid=COMGZS9GHNQCJC26,Core i7,13th Gen,1.50 GHz up to 5.00 GHz,1 TB,16 GB,NVIDIA GeForce RTX 4060,8 GB,No,40.64 cm (16 Inch),2560 x 1600 Pixel,,"1,49,990"
COMGCGST9RM6UYQP,https://www.flipkart.com/product/p/item?pid=COMGCGST9RM6UYQP,Ryzen 5 Hexa Core,,4.3,512 GB,16 GB,AMD Radeon Radeon Graphics,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,,"58,990"
COMGHA9RQKTUPZ3V,https://www.flipkart.com/product/p/item?pid=COMGHA9RQKTUPZ3V,Ryzen 7 Octa Core,,3.2 GHz with Turbo Boost Upto 4.4 GHz,512 GB,16 GB,NVIDIA GeForce RTX 3060,6 GB,No,100.63 cm (39.62 cm),2560 x 1440 Pixel,,"99,990"
COMGMV6VGZVHZ6XT,https://www.flipkart.com/product/p/item?pid=COMGMV6VGZVHZ6XT,Core i5,12th Gen,"Base Frequency 3.30 GHz, Max Turbo Boost Frequency Up to 4.40 GHz",512 GB,16 GB,Intel Integrated Iris Xe,,No,35.56 cm (14 Inch),1920 x 1080 Pixel,,"48,990"
COMGZMKFE8PZW4YH,https://www.flipkart.com/product/p/item?pid=COMGZMKFE8PZW4YH,Core i5,13th Gen,Max Turbo Frequency up to 4.7 GHz,512 GB,16 GB,NVIDIA GeForce RTX 4050,6 GB,No,40.64 cm (16 Inch),3200 x 2000 Pixel,120 Hz,"1,24,990"
COMGNY3BTHRQ8MJG,https://www.flipkart.com/product/p/item?pid=COMGNY3BTHRQ8MJG,Ryzen 3 Quad Core,,2.4GHz Upto 4.1GHz,512 GB,8 GB,AMD Radeon AMD Radeon 610M Graphics,,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,,"39,990"
COMGHYYKBZACVTBS,https://www.flipkart.com/product/p/item?pid=COMGHYYKBZACVTBS,Ryzen 7 Octa Core,,3.2GHz upto 4.4 GHz,512 GB,16 GB,NVIDIA GeForce RTX 3050,4 GB,Yes,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"74,990"
COMGHF6JGZBYHM6G,https://www.flipkart.com/product/p/item?pid=COMGHF6JGZBYHM6G,Core i5,12th Gen,"Base Clock 3.30 Ghz, Max Turbo Boost Frequency Up to 4.40 GHz",512 GB,16 GB,Intel Integrated Iris Xe,,Yes,35.56 cm (14 Inch),1920 x 1080 Pixel,,"66,990"
COMGZ3SPQHTUNRKG,https://www.flipkart.com/product/p/item?pid=COMGZ3SPQHTUNRKG,Core i3,12th Gen,0.9 GHz upto max turbo frequency at 4.4 Ghz,512 GB,8 GB,Intel Integrated UHD,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"39,990"
COMGN2YDH9WVHY2H,https://www.flipkart.com/product/p/item?pid=COMGN2YDH9WVHY2H,Ryzen 7 Octa Core,,"Base Frequency 3.2 GHz, Max Turbo Boost at 4.4 GHz",512 GB,16 GB,NVIDIA GeForce RTX 3050,4 GB,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,120 Hz,"1,15,990"
COMGNRNU9SEPEMQV,https://www.flipkart.com/product/p/item?pid=COMGNRNU9SEPEMQV,Ryzen 7 Octa Core,,3.2GHz upto max turbo frequency at 4.4 GHz,512 GB,16 GB,NVIDIA GeForce RTX 3050,4 GB,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,144 Hz,"72,990"
COMGHYYK8FRAYF4Y,https://www.flipkart.com/product/p/item?pid=COMGHYYK8FRAYF4Y,Core i5,11th Gen,2.7Ghz upto 4.5 GHz,512 GB,8 GB,NVIDIA GeForce GTX 1650,4 GB,No,40.89 cm (16.1 Inch),1920 x 1080 Pixel,,"58,490"
COMGHZGHHG7UTT9B,https://www.flipkart.com/product/p/item?pid=COMGHZGHHG7UTT9B,M2 Max,,,1 TB,32 GB,NA,,No,40.64 cm (16 Inch),3456 x 2234 Pixel,,"3,22,490"
COMGG63HKVTYP5F4,https://www.flipkart.com/product/p/item?pid=COMGG63HKVTYP5F4,Core i3,11th Gen,Up to 4.1 GHz,256 GB,8 GB,Intel Integrated UHD Graphics,,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,,"41,990"
COMGZ7FRZDEQHNYQ,https://www.flipkart.com/product/p/item?pid=COMGZ7FRZDEQHNYQ,Ryzen 3 Quad Core,,2.4GHz Upto 4.1GHz,512 GB,8 GB,AMD Radeon AMD,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"39,990"
COMGHA9RYJRG8JE6,https://www.flipkart.com/product/p/item?pid=COMGHA9RYJRG8JE6,Core i5,12th Gen,"1.3 GHz upto Max 4.4 GHz,",512 GB,16 GB,Intel Integrated Iris Xe,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"54,990"
COMFXVAS6FYXYMHW,https://www.flipkart.com/product/p/item?pid=COMFXVAS6FYXYMHW,Ryzen 7 Octa Core,,2.0 GHz with Turbo Boost Upto 4.1 GHz,512 GB,8 GB,AMD Radeon,,No,35.56 cm (14 inch),1920 x 1080 pixel,,"57,000"
COMGFM5BHPZWTFST,https://www.flipkart.com/product/p/item?pid=COMGFM5BHPZWTFST,Core i5,12th Gen,,512 GB,8 GB,Intel Integrated UHD Graphics,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"54,990"
